slide_ID,num_patches,all_patches
JMR1251,18240,61425
JMR1252,9838,44736
JMR1253,6183,35055
JMR1255,1443,18837
JMR1256,63,11312
JMR1257,42142,151096
JMR1259,13487,104622
JMR1261,41698,328202
JMR1266,33439,99193
JMR1268,3502,23856
JMR1269,2660,34827
JMR1271,15291,49335
JMR1272,30085,72152
JMR1275,7355,43430
JMR1276,2936,45100
JMR1277,3383,24150
JMR1278,32271,102029
JMR1279,5916,25403
JMR1282,30295,143810
JMR1283,10832,37506
JMR1284,7381,49500
JMR1285,6569,31320
JMR1287,4698,63147
JMR1290,32473,82926
JMR1291,6213,24883
JMR1292,14007,60320
JMR1293,160,6560
JMR1295,9384,72390
JMR1298,663,16170
JMR1299,6423,27263
JMR1301,14118,41238
JMR1302,33960,100082
JMR1303,2601,28558
JMR1304,20917,75348
JMR1305,2756,18600
JMR1307,2902,30960
JMR1309,51682,108486
JMR1311,4062,32064
JMR1313,12327,40680
JMR1314,9989,64614
JMR1315,14250,60000
JMR1316,25422,74580
JMR1319,8331,44496
JMR1320,8357,32039
JMR1323,18144,82280
JMR1325,21517,67158
JMR1326,24174,96813
JMR1327,74965,183210
JMR1328,10441,46222
JMR1329,32440,96302
JMR1330,31594,84862
JMR1331,39890,89790
JMR1332,5398,31160
JMR1334,7001,47276
JMR1338,1550,20586
JMR1339,27573,101412
JMR1340,22064,73700
JMR1341,47594,101750
JMR1342,15524,51156
JMR1345,50272,106380
JMR1347,10539,46330
JMR1348,45657,176906
JMR1349,51538,92504
JMR1352,19790,328202
JMR1353,4742,28565
JMR1354,7247,28223
JMR1355,25499,94010
JMR1358,24795,70422
JMR1359,20606,84252
JMR1360,4688,40936
JMR1361,7723,36672
JMR1362,8659,51308
JMR1363,8555,39610
JMR1364,58548,114243
JMR1365,45454,146962
JMR1366,1596,20992
JMR1367,37732,96096
JMR1368,12032,47565
JMR1369,38665,126036
JMR1370,20293,52864
JMR1371,11484,115028
JMR1372,3161,70418
JMR1373,2918,18923
JMR1375,7826,35040
JMR1376,10833,43337
JMR1377,10647,62909
JMR1378,8196,35685
JMR1379,44876,134940
JMR1382,10516,63714
JMR1383,58954,131296
JMR1385,20751,72312
JMR1386,8170,30338
JMR1387,27092,65688
JMR1388,24089,108265
JMR1390,9714,67200
JMR1391,5574,29568
JMR1392,7097,43681
JMR1393,33498,140561
JMR1394,8659,35109
JMR1395,4757,38502
JMR1398,1724,19656
JMR1399,7474,29205
JMR1400,8518,42784
JMR1401,27072,69620
JMR1403,292,21140
JMR1404,43521,130410
JMR1405,15790,54648
JMR1406,3343,27004
JMR1407,6668,39078
JMR1409,61772,123192
JMR1410,19693,68970
JMR1411,13744,58760
JMR1412,3206,40014
JMR1414,7275,38824
JMR1415,27083,126060
JMR1416,7130,30895
JMR1417,13230,46350
JMR1418,6119,27477
JMR1419,21694,64605
JMR1420,2897,27777
JMR1422,50581,96922
JMR1423,13722,43340
JMR1424,31251,105264
JMR1425,33524,144992
JMR1426,24852,151578
JMR1427,6276,32636
JMR1428,28102,67184
JMR1429,17467,46690
JMR1430,13276,61074
JMR1431,19994,67320
JMR1433,9714,40890
JMR1434,29628,105028
JMR1435,20750,52796
JMR1438,23397,328202
JMR1439,20616,67334
JMR1440,16179,52800
JMR1441,15148,90168
JMR1444,11699,37682
JMR1445,11534,50544
JMR1446,13014,43896
JMR1447,9781,35904
JMR1449,14642,42354
JMR1450,13128,39672
JMR1451,15320,76752
JMR1452,29010,88631
JMR1454,23810,115575
JMR1456,3729,38403
JMR1459,4690,28912
JMR1460,9675,95274
JMR1461,58283,146568
JMR1463,6173,28290
JMR1465,34162,84552
JMR1466,32944,123375
JMR1467,16929,65895
JMR1468,15519,64025
JMR1469,17597,66717
JMR1470,13203,49560
JMR1472,1831,16600
JMR1473,25580,71148
JMR1474,78294,145097
JMR1477,11780,61236
JMR1478,17371,63388
JMR1480,6011,32528
JMR1481,25999,97200
JMR1482,7272,37922
JMR1483,38638,89570
JMR1484,1143,31862
JMR1485,60082,148932
JMR1486,1738,26520
JMR1488,10896,58649
JMR1490,10356,36248
JMR1491,16869,54960
JMR1493,38395,127872
JMR1497,7434,59730
JMR1498,42855,104841
JMR1499,2324,61152
JMR1500,15725,58581
JMR1501,16577,60088
JMR1502,14804,48461
JMR1505,17640,328202
JMR1508,31450,121875
JMR1509,6736,27482
JMR1510,38127,110600
JMR1511,64554,170602
JMR1512,30142,80372
JMR1514,4760,25155
JMR1515,38135,88228
JMR1516,4134,27348
JMR1517,36716,130340
JMR1518,14972,52402
JMR1519,37969,143810
JMR1520,8068,29225
JMR1523,30187,120498
JMR1524,5196,22792
JMR1525,7546,31044
JMR1527,4082,22509
JMR1528,9962,40368
JMR1529,12481,55440
JMR1531,9432,42496
JMR1535,20019,82134
JMR1536,39965,302022
JMR1537,8064,185736
JMR1538,44685,103088
JMR1539,16519,57732
JMR1541,38500,97344
JMR1542,4411,23560
JMR1543,49384,125132
JMR1547,63329,328202
JMR1550,3670,28525
JMR1551,4307,24108
JMR1552,14458,56420
JMR1553,1246,126728
JMR1554,9523,42418
JMR1555,19147,75544
JMR1556,81211,181506
JMR1557,49279,253736
JMR1558,23720,97790
JMR1559,9669,57024
JMR1562,9596,32076
JMR1563,14331,137640
JMR1564,11451,43442
JMR1567,110538,215460
JMR1570,11875,94620
JMR1571,5184,39000
JMR1573,67251,211578
JMR1574,8459,138618
JMR1575,7848,41396
JMR1576,5533,95340
